id,project_id,target_id,status,opened_at,clicked_at,submitted_at,tracking_token,send_status,sent_at,send_error,tenant_id
f15ea804-346c-4deb-a369-84894346d9e1,c732bf95-0634-4b3a-9d47-cad63314fbb3,9de420a6-da56-4cbc-b166-c49cd481d9c5,sent,,,,9fdad05c-7cdc-4f89-a30c-c0b1fe48ecdd,pending,,,tenant-local-001
c180cce7-ef3f-434e-8d2e-217a03802b42,503aa26a-f7ee-4aea-8efe-36d074512c2f,b7b03441-96a4-42a8-90b5-e39a69b6412c,sent,,,,fe165814-1d06-4c2b-acdb-47613ab9c43a,sent,2026-03-18 01:38:37.489,,tenant-local-001
a3e7ada2-94d1-4dba-8086-bc073a89e0be,e9b7baf8-d250-4b16-b9a9-9833e8396250,b7b03441-96a4-42a8-90b5-e39a69b6412c,sent,,,,07aeb6db-b115-44d1-8d70-a3b3be23d810,sent,2026-03-18 11:54:23.783,,tenant-local-001
52670feb-0419-478f-b534-2a3e8ebb823d,e9b7baf8-d250-4b16-b9a9-9833e8396250,514b2891-dc4e-4497-bd5b-394538f15aec,sent,,,,add308df-eb7e-4f0f-baca-97aa7f0068f1,sent,2026-03-18 11:54:25.451,,tenant-local-001
612b03f2-3992-4579-b020-589baf585b00,c732bf95-0634-4b3a-9d47-cad63314fbb3,e589bb5b-6906-4e47-af38-bf9fedb329ff,sent,,,,cd06f593-e8fe-466b-9b8c-057374eff809,pending,,,tenant-local-001
34fccb49-a2ba-486e-8a2f-a2544baee7d2,503aa26a-f7ee-4aea-8efe-36d074512c2f,34e6a2c4-7d93-4ae4-86ee-fc4d212eb8c9,submitted,2026-03-18 01:38:49.809,2026-03-18 01:38:49.809,2026-03-18 01:38:59.075,10643d70-c4bb-4982-93ad-85810ca687cc,sent,2026-03-18 01:38:41.131,,tenant-local-001
d05acb71-bc19-4a2d-ae65-487cecdd3a64,e9b7baf8-d250-4b16-b9a9-9833e8396250,34e6a2c4-7d93-4ae4-86ee-fc4d212eb8c9,clicked,2026-03-18 11:54:52.66,2026-03-18 11:54:52.66,,550b05cf-ffe7-4a4d-a314-b848dddab33e,sent,2026-03-18 11:54:29.25,,tenant-local-001
c6c7a551-9850-47af-8e92-78543dba4094,7304ec66-caa5-482d-b534-f82503fc23c4,34e6a2c4-7d93-4ae4-86ee-fc4d212eb8c9,sent,,,,95f91699-82ce-48a4-bf28-631977fdf48e,sent,2026-03-19 05:40:20.777,,tenant-local-001
e8591c6f-ca4c-43bd-b077-ffdb66e1299e,7304ec66-caa5-482d-b534-f82503fc23c4,b7b03441-96a4-42a8-90b5-e39a69b6412c,sent,,,,c0f113e3-0171-4650-ac87-04bf05103512,sent,2026-03-19 05:40:24.458,,tenant-local-001
0e884355-4a3e-4e0f-9cf3-ab2050459a1e,52063e56-02d0-4a23-aebc-921a7f06302a,b7b03441-96a4-42a8-90b5-e39a69b6412c,sent,,,,02427cef-5600-4f27-9786-f80426103140,sent,2026-03-18 08:08:23.619,,tenant-local-001
f2e2a986-a3eb-44e8-8545-a36d20986758,52063e56-02d0-4a23-aebc-921a7f06302a,514b2891-dc4e-4497-bd5b-394538f15aec,sent,,,,58544be5-5e05-4e10-9264-1aac16cece12,sent,2026-03-18 08:08:27.161,,tenant-local-001
f7e9cf2b-e463-4103-9d15-4fb5f3fbd811,cff5e75b-9fd9-494c-b5b3-64bf7e8c47a7,9de420a6-da56-4cbc-b166-c49cd481d9c5,sent,,,,47f859af-a765-4883-b783-d70710a2a79a,pending,,,tenant-local-001
799aa3eb-5793-4586-a202-edb34d423ce7,cff5e75b-9fd9-494c-b5b3-64bf7e8c47a7,3d1a835b-8085-4c0e-9476-6430cfbe1850,sent,,,,b12a6cff-4c92-417a-915d-52eab46b55b4,pending,,,tenant-local-001
c765480d-6b1f-4488-a8ca-1b5d7bed3f80,cff5e75b-9fd9-494c-b5b3-64bf7e8c47a7,cc635c73-4dee-4ce2-ac57-9cd1aec8c539,sent,,,,d08b370c-eaef-4819-8d79-01d4f3c26073,pending,,,tenant-local-001
477a4fe9-8a4c-4409-9d9a-3d1b256aaff0,cff5e75b-9fd9-494c-b5b3-64bf7e8c47a7,02e1d0a8-1c5c-4a13-a2a6-593fcaf8c56f,sent,,,,aa395ad3-b2c4-454b-9932-11cfd01551b6,pending,,,tenant-local-001
8cdec5ad-ca82-44e8-ba7c-5d8f4a351922,cff5e75b-9fd9-494c-b5b3-64bf7e8c47a7,514b2891-dc4e-4497-bd5b-394538f15aec,test,,,,a965a7c7-a087-49a0-81dd-e2af1c84e539,sent,2026-02-10 01:44:46.643,,tenant-local-001
0ab90522-027e-4224-8cb8-10e75d5b06b9,7808067e-2e70-49e3-b338-d8850f91f71c,34e6a2c4-7d93-4ae4-86ee-fc4d212eb8c9,sent,,,,82829b4b-2063-411c-bc50-22db689a91d4,sent,2026-02-10 02:03:24.361,,tenant-local-001
5b2142a9-a599-4580-99fd-dc4c4041398b,7808067e-2e70-49e3-b338-d8850f91f71c,514b2891-dc4e-4497-bd5b-394538f15aec,sent,,,,8c29200f-2a0e-4f12-a6e4-c43aed128b7c,sent,2026-02-10 02:03:28.19,,tenant-local-001
66880921-4516-42b5-a96f-067aebf6d208,7808067e-2e70-49e3-b338-d8850f91f71c,02e1d0a8-1c5c-4a13-a2a6-593fcaf8c56f,sent,,,,93b6e051-f8cb-4052-86d3-9adc9952edc3,sent,2026-02-10 02:03:32.02,,tenant-local-001
132dbd7b-9f40-400f-83ea-85eea61e1a8d,323bfe44-ceeb-4ce5-83dc-7064d4dde5d3,34e6a2c4-7d93-4ae4-86ee-fc4d212eb8c9,sent,,,,9d275826-7b10-41fb-8ce2-42092b2646d0,sent,2026-02-11 05:05:10.857,,tenant-local-001
c6df6cf5-b542-45b8-ba3c-c6d4a6121b1b,52063e56-02d0-4a23-aebc-921a7f06302a,34e6a2c4-7d93-4ae4-86ee-fc4d212eb8c9,sent,,,,7d88d5ea-200a-4182-8f7f-ba49508641c9,sent,2026-03-18 08:08:30.775,,tenant-local-001
