id,project_id,status,created_at,started_at,finished_at,attempts,last_error,total_count,success_count,fail_count,tenant_id
04a2d80c-ff7f-4845-834c-95d3cb918d92,7304ec66-caa5-482d-b534-f82503fc23c4,done,2026-03-19 05:40:14.294229,2026-03-19 05:40:14.346493,2026-03-19 05:40:24.471,0,,2,2,0,tenant-local-001
cb9c5328-400f-44f5-a547-06f188fcb432,503aa26a-f7ee-4aea-8efe-36d074512c2f,done,2026-03-18 01:38:31.902304,2026-03-18 01:38:31.947423,2026-03-18 01:38:41.161,0,,2,2,0,tenant-local-001
73545eaf-7fbc-4ba1-a76d-335ba745eaf5,aeea958b-0258-49ba-87db-8b4c531437d0,failed,2026-02-13 05:46:49.670083,2026-02-13 06:07:34.741654,2026-02-13 06:07:34.759,3,프로젝트를 찾을 수 없습니다.,3,0,0,tenant-local-001
2181c538-747d-4326-997c-de4a58af0703,ac4626d5-9fd8-421a-ac10-5248e1a3df4f,done,2026-02-12 05:59:12.141945,2026-02-12 05:59:12.329406,2026-02-12 05:59:18.752,0,,2,2,0,tenant-local-001
953883ec-c360-42e7-bae0-3be251b1b2fe,52063e56-02d0-4a23-aebc-921a7f06302a,done,2026-03-18 08:08:16.795243,2026-03-18 08:08:16.828973,2026-03-18 08:08:30.817,0,,3,3,0,tenant-local-001
30217a42-ca2a-449a-995b-bc9dcf704c02,7808067e-2e70-49e3-b338-d8850f91f71c,done,2026-02-10 02:03:17.1251,2026-02-10 02:03:18.475968,2026-02-10 02:03:46.544,0,,7,7,0,tenant-local-001
80c259be-683c-4d29-a8db-cce1c2e4671d,5c8b2042-92b3-4b5e-8de6-2251556b82c0,done,2026-02-13 06:07:34.213972,2026-02-13 06:07:34.765896,2026-02-13 06:07:44.023,0,,2,2,0,tenant-local-001
3e0cb1a7-b928-4b2d-8bcd-baf6753c7e4b,9848980e-9647-4bd3-a44f-bcf1f8ca6e74,done,2026-02-12 06:07:51.870084,2026-02-12 06:07:52.52146,2026-02-12 06:07:59.038,0,,2,2,0,tenant-local-001
3e1d3e5c-e61c-4e81-85d2-6b818cadce7e,96f2026f-6b5a-4aa7-95e6-58af4b800bee,done,2026-03-16 07:13:41.607482,2026-03-16 07:13:41.630889,2026-03-16 07:13:54.586,0,,3,3,0,tenant-local-001
5bafc02b-be7e-482d-8bd5-0e789dc0a068,dca2ac1f-8df8-4e7e-bba1-f47afa933364,done,2026-02-10 02:06:01.042608,2026-02-10 02:06:02.320642,2026-02-10 02:06:29.847,0,,8,8,0,tenant-local-001
8979703a-38fd-472c-9293-b2190ed5f3af,9d0d025b-ef1b-4c7d-b980-8266d1c7fc54,done,2026-02-19 03:33:03.995365,2026-02-19 03:33:04.014141,2026-02-19 03:33:09.894,0,,1,1,0,tenant-local-001
096843de-95f3-480b-8a61-466bc790f5c0,d1007820-76b6-4459-9d8c-4f49a4f80950,failed,2026-02-13 05:39:03.778186,2026-02-13 06:07:34.346883,2026-02-13 06:07:34.435,3,프로젝트를 찾을 수 없습니다.,1,0,0,tenant-local-001
b017bb4a-aee6-4685-aa7d-fbdbb05fba99,ef451ed3-94bc-49c2-aa64-4c6304897396,failed,2026-02-13 05:40:42.254427,2026-02-13 06:07:34.552479,2026-02-13 06:07:34.575,3,프로젝트를 찾을 수 없습니다.,1,0,0,tenant-local-001
ca678f44-aaa4-4ffe-8fbf-8bb2788eef57,e9b7baf8-d250-4b16-b9a9-9833e8396250,done,2026-03-18 11:54:17.551439,2026-03-18 11:54:17.574751,2026-03-18 11:54:29.263,0,,3,3,0,tenant-local-001
cbfa59ac-9819-4b8a-9bdd-4fa2466e5a93,323bfe44-ceeb-4ce5-83dc-7064d4dde5d3,done,2026-02-11 05:04:45.903786,2026-02-11 05:04:45.976766,2026-02-11 05:05:18.053,0,,8,8,0,tenant-local-001
99c16d44-5b9f-4aba-8c5a-b42b9a59b7e2,6316594e-4670-4182-9509-588328ef6eeb,done,2026-02-19 07:33:35.69398,2026-02-19 07:33:35.728571,2026-02-19 07:33:47.819,0,,3,3,0,tenant-local-001
e4741277-7ad5-41e7-9f8a-04fe5900ce88,b46f38f0-b27e-4edc-a043-9f1cfeadb3cc,done,2026-02-11 10:36:24.247132,2026-02-11 10:36:25.244789,2026-02-11 10:36:36.324,0,,3,3,0,tenant-local-001
35752279-78ad-4841-ad41-a98de8a50c0e,9c5fad41-4681-4907-adb8-33dd379e6846,failed,2026-02-13 05:41:51.673892,2026-02-13 06:07:34.655487,2026-02-13 06:07:34.681,3,프로젝트를 찾을 수 없습니다.,2,0,0,tenant-local-001
33c7d52f-ab29-4512-85cd-26dbad315ac0,f7ba3d55-6c63-458f-a0e0-754e07a200df,done,2026-02-12 05:57:50.59882,2026-02-12 05:57:51.551244,2026-02-12 05:58:00.033,0,,2,2,0,tenant-local-001
71840461-ebb7-4bc4-b2b3-b0e2aa8b6eae,b01cab91-3205-4f9b-bc39-b9e1c55e1ea3,done,2026-03-05 10:42:59.497253,2026-03-05 10:42:59.536523,2026-03-05 10:43:10.199,0,,2,2,0,tenant-local-001
4e569f95-2d62-4137-90fe-5e01804936b0,b01cab91-3205-4f9b-bc39-b9e1c55e1ea3,done,2026-03-05 10:42:59.499135,2026-03-05 10:43:10.206573,2026-03-05 10:43:10.255,0,,0,0,0,tenant-local-001
76ef9f5e-056d-4771-a2bc-4bbbfd0a55ef,b01cab91-3205-4f9b-bc39-b9e1c55e1ea3,done,2026-03-05 10:42:59.523454,2026-03-05 10:43:10.263606,2026-03-05 10:43:10.339,0,,0,0,0,tenant-local-001
7f3a55c2-86c5-4537-b8bb-459d0d187511,c9ba25fd-53dd-45f8-8fea-0e324dcf1e22,done,2026-03-24 08:08:00.668652,2026-03-24 08:08:00.672735,2026-03-24 08:08:10.512,0,,2,2,0,tenant-local-001
8a5b3dd8-03fa-4b21-92aa-45410ad27a50,f175ce94-4ea3-4bed-975d-1bc33eb12e72,done,2026-03-25 01:32:33.234418,2026-03-25 01:32:33.236418,2026-03-25 01:32:44.095,0,,2,2,0,tenant-local-001
9025fb07-047d-427c-9d90-1e5dd241f533,b458d6a1-4305-4a9d-b7b5-7964d48f0cca,done,2026-03-20 05:14:28.068921,2026-03-20 05:14:28.071226,2026-03-20 05:14:39.557,0,,3,3,0,tenant-local-001
bc4947d2-b0bc-4aef-8ea1-c245f216dee9,1fa8d298-d5df-4285-ab6e-e57d65ff7000,done,2026-03-24 18:48:23.714643,2026-03-24 18:48:23.717498,2026-03-24 18:48:33.735,0,,2,2,0,tenant-local-001
fcf9374a-579f-4248-b008-ff53aea4a14d,d350c8c0-97f8-4956-9e2d-308a9100ad9e,done,2026-03-24 08:18:03.113077,2026-03-24 08:18:03.114905,2026-03-24 08:18:23.173,0,,5,5,0,tenant-local-001
16406eb0-e80f-4e8a-b02d-376230321cd8,8f3f635f-2f6c-4f38-8f10-5fcaa8bdcf79,done,2026-03-23 05:47:23.525293,2026-03-23 05:47:23.52935,2026-03-23 05:47:34.593,0,,3,3,0,tenant-local-001
e3fbe491-8258-4fa4-b8ea-7578c39d41bd,0d8d3041-23d4-42fc-946f-4bf0b803326e,done,2026-03-25 01:21:37.675961,2026-03-25 01:21:37.678219,2026-03-25 01:21:58.608,0,,5,5,0,tenant-local-001
31cc8386-7616-4dd8-b73a-f49f589c60fc,132a45e7-9889-4972-8890-9937e489cccb,done,2026-03-25 00:53:15.058061,2026-03-25 00:53:15.060632,2026-03-25 00:53:28.379,0,,2,2,0,tenant-local-001
94bde0b7-29a5-42e8-bfe0-eade0fc57f67,ca7f00e0-5df0-491b-a81b-35ce76ad2219,done,2026-03-24 17:03:21.343966,2026-03-24 17:03:21.346767,2026-03-24 17:03:29.378,0,,1,1,0,tenant-local-001
d7baea1b-d5ce-434c-b183-3aaa7becd94c,941495d3-a5fb-4a5c-b59f-1c75e59830cd,done,2026-03-25 06:57:26.374319,2026-03-25 06:57:26.376286,2026-03-25 06:57:44.348,0,,3,3,0,tenant-local-001
d380c47e-8016-4489-b640-afd6c1abcee0,0b97967e-125b-4a48-881e-26c1aee6412f,done,2026-03-24 19:00:38.790248,2026-03-24 19:00:38.792589,2026-03-24 19:00:53.242,0,,3,3,0,tenant-local-001
1659831c-a60d-4a77-94f3-4ac7eb5ddd5b,9d840afe-589a-403b-b9db-15cbba4458cf,done,2026-03-25 01:46:30.388523,2026-03-25 01:46:30.391415,2026-03-25 01:46:40.387,0,,2,2,0,tenant-local-001
183df72f-669a-463b-aead-dfcd7b3d0056,f7c26f39-32e0-4974-94bf-b45ebe57473d,done,2026-03-25 05:21:57.889796,2026-03-25 05:21:57.891872,2026-03-25 05:22:16.189,0,,3,3,0,tenant-local-001
2ffe0c1d-4ede-4661-8f58-e3a7c0e21634,c34ce939-759a-4437-a254-833c54fa17a3,done,2026-03-25 07:04:03.109214,2026-03-25 07:04:03.11395,2026-03-25 07:04:20.411,0,,3,3,0,tenant-local-001
